Species,
Gray-headed Canary-Flycatcher,expand in winter
Crimson-backed sunbird,down in winter
Indian White-eye,expand in winter
Black-and-orange Flycatcher,median up in winter
Black-naped Monarch,"constant, median down in winter"
Orange-headed Thrush,"constant, median down"
Indian Blackbird,expand in winter
Orange Minivet,constant
Pied Bushchat,median down
Nilgiri Flycatcher,not significant
Nilgiri Flowerpecker,up limit down
Nilgiri Wood-Pigeon,full down
Nilgiri Laughingthrush,not significant
Nilgiri Sholakili,less data
Yellow-browed Bulbul,not significant
White-cheeked barbet,up limit down
Vernal Hanging-Parrot,not significant
Square-tailed Bulbul,low lim down
Jungle Myna,complete down
Southern Hill Myna,up limit down
Flame-throated bulbul,not significant
Blue-bearded Bee-eater,up limit down
Tawny-bellied Babbler,up limit up
Indian Robin,"expand, up limit up"
Ashy Woodswallow,"expand, up limit up"
Indian Roller,complete up in winter
White-browed Wagtail,up limit down in winter
White-rumped Shama,up limit down in winter
Greater Flameback,up limit down in winter
Black-throated Munia,shrink in winter
Green Imperial-Pigeon,shrink in winter
Purple Sunbird,shrink in winter
Greater Coucal,shrink in winter
Banded Bay Cuckoo,up limit down in winter
Thick-billed Flowerpecker,shrink in winter
Spotted Dove,shrink in winter
Malabar Pied-Hornbill,up limit down in winter
Pied Bushchat,median down
Black Drongo,constant
White-throated Kingfisher,constant
Yellow-footed Green-Pigeon,constant
Malabar Trogon,constant
Pied Cuckoo,constant
Rufous Babbler,constant
Yellow-eyed Babbler,constant
Indian Nuthatch,constant
Jungle Prinia,constant
