eBird.English.Name.2021,eBird.Scientific.Name.2021,eBird.Code,Order,Family,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,SOIB.Concern.Status,SOIB.Long.Term.Status,,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,India.Checklist.Common.Name,India.Checklist.Scientific.Name
Ashambu Laughingthrush,Montecincla meridionalis,kerlau3,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Vulnerable,Schedule-IV,NA,Appendix II,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,NA,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Ashambu Laughingthrush,Montecincla meridionalis
Ashy Prinia,Prinia socialis,ashpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Ashy Prinia,Prinia socialis
Ashy Woodswallow,Artamus fuscus,ashwoo2,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Moderate,Stable,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,Ashy Woodswallow,Artamus fuscus
Ashy-crowned Sparrow-Lark,Eremopterix griseus,ascspl1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Grassland,Resident,NA,NA,Ashy-crowned Sparrow Lark,Eremopterix griseus
Asian Emerald Dove,Chalcophaps indica,emedov2,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,NA,NA,Asian Emerald Dove,Chalcophaps indica
Asian Fairy-bluebird,Irena puella,asfblu1,Passeriformes,Irenidae (Fairy-bluebirds),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Tropical Forest,Resident,NA,NA,Asian Fairy-bluebird,Irena puella
Asian Koel,Eudynamys scolopaceus,asikoe2,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Low,Moderate Increase,Strong Increase,Very Large,24 hour,Diurnal,Fruit & Nect,No,No,No,None,None,Resident,NA,NA,Asian Koel,Eudynamys scolopaceus
Banasura Laughingthrush,Montecincla jerdoni,bkclau1,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Endangered,Schedule-IV,NA,Appendix II,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,NA,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Banasura Laughingthrush,Montecincla jerdoni
Banded Bay Cuckoo,Cacomantis sonneratii,babcuc2,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Banded Bay Cuckoo,Cacomantis sonneratii
Bar-winged Flycatcher-shrike,Hemipus picatus,bwfshr1,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,Bar-winged Flycatcher-shrike,Hemipus picatus
Bay-backed Shrike,Lanius vittatus,babshr1,Passeriformes,Laniidae (Shrikes),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland and Scrub,Resident & Local Migrant,NA,NA,Bay-backed Shrike,Lanius vittatus
Baya Weaver,Ploceus philippinus,baywea1,Passeriformes,Ploceidae (Weavers and Allies),Least Concern,Schedule-IV,NA,NA,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,Baya Weaver,Ploceus philippinus
Black Drongo,Dicrurus macrocercus,bladro1,Passeriformes,Dicruridae (Drongos),Least Concern,Schedule-IV,NA,NA,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland and Scrub,Resident & Local Migrant,NA,NA,Black Drongo,Dicrurus macrocercus
Black-and-orange Flycatcher,Ficedula nigrorufa,barfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Wooded Habitat,Resident,NA,NA,Black-and-orange Flycatcher,Ficedula nigrorufa
Black-backed Dwarf-Kingfisher,Ceyx erithaca,bkbkin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,NA,NA,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident & Local Migrant,NA,NA,Oriental Dwarf Kingfisher,Ceyx erithaca
Black-hooded Oriole,Oriolus xanthornus,blhori1,Passeriformes,Oriolidae (Old World Orioles),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,NA,NA,Black-hooded Oriole,Oriolus xanthornus
Black-naped Monarch,Hypothymis azurea,blnmon1,Passeriformes,Monarchidae (Monarch Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Local Migrant,NA,NA,Black-naped Monarch,Hypothymis azurea
Jungle Prinia,Prinia sylvatica,junpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Grassland and Scrub,Resident,NA,NA,Jungle Prinia,Prinia sylvatica
Plain Prinia,Prinia inornata,plapri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,Plain Prinia,Prinia inornata
