species,LONGITUDE,LATITUDE
species,74.129195,14.7814771
species,74.1311529,14.7818273
species,74.1325302,14.780452
species,74.134267,14.7894962
species,74.1346549,14.7812838
species,74.1355243,14.8053141
species,74.1358941,14.8022914
species,74.1396113,14.7894459
species,74.1409242,14.9043916
species,74.1415143,14.9070496
species,74.1425925,14.8923372
species,74.1452523,14.8812997
species,74.1472549,14.8122951
species,74.1487187,14.9069977
species,74.1544243,14.8163041
species,74.1554908,14.8206869
species,74.15611,14.880996
species,74.1582261,14.7706656
species,74.1605214,14.8120153
species,74.1641848,14.8801734
species,74.1642846,14.7647879
species,74.1653184,14.7697536
species,74.1685227,14.8793409
species,74.1704557,14.9028995
species,74.1734,14.826977
species,74.1740975,14.769378
species,74.1809636,14.8130785
species,74.1810913,14.8206251
species,74.1828193,14.8187263
species,74.1832817,14.769445
species,74.1859301,14.8921617
species,74.1873693,14.8245065
species,74.1891141,14.80607
species,74.1895848,14.8084699
species,74.1903633,14.8830798
species,74.1909957,14.9576949
species,74.1921244,14.8905701
species,74.2008448,14.9352784
species,74.203973,14.9068603
species,74.2056191,14.9720117
species,74.2061884,14.9760747
species,74.2115736,14.9902547
species,74.2184446,14.9821297
species,74.219105,14.8557547
species,74.219133,14.911119
species,74.2202854,14.8954789
species,74.2214246,14.9788146
species,74.223179,14.763976
species,74.2246306,14.9779402
species,74.2366362,14.8989004
species,74.2481218,14.9029646
species,74.256289,14.8799132
species,74.2568706,14.9095648
species,74.2572677,14.9127261
species,74.257513,14.873664
species,74.2594476,14.8806307
species,74.2614021,14.8822879
species,74.262276,14.8655793
species,74.2628067,14.8836121
species,74.2629278,14.8786832
species,74.2651246,14.8692976
species,74.265746,14.865184
species,74.2666869,14.8983317
species,74.267452,14.886994
species,74.2675352,14.8894651
species,74.267634,14.855808
species,74.2684364,14.8848587
species,74.2700531,14.8873612
species,74.2709009,14.8216183
species,74.271092,14.813404
species,74.27179,14.888759
species,74.2811762,14.7240773
species,74.281789,14.728242
species,74.284533,14.849392
species,74.2861605,14.7281526
species,74.2889379,14.8925987
species,74.2930903,14.892995
species,74.2933575,14.8889644
species,74.2940354,14.8909997
species,74.298323,14.903402
species,74.2998982,14.8907085
species,74.303112,14.8922591
species,74.3038631,14.9040331
species,74.30509,14.892504
species,74.3055193,14.8948853
species,74.3066788,14.8971871
species,74.3079783,14.8864088
species,74.3093676,14.8975017
species,74.3094581,14.8938133
species,74.310564,14.891333
species,74.310756,14.8856563
species,74.311248,14.8978376
species,74.311654,14.893343
species,74.3128508,14.8838822
species,74.312868,14.936986
species,74.312917,14.89488
species,74.3131814,14.8989383
species,74.3149996,14.8903251
species,74.3165286,14.9018955
species,74.3167162,14.8529646
species,74.317413,14.8671896
species,74.3251882,14.9005661
species,74.3256389,14.9036836
species,74.326541,14.88887
species,74.3266796,14.9104625
species,74.3278983,14.8903957
species,74.3279111,14.8933195
species,74.3281802,14.8985168
species,74.328369,14.885675
species,74.328759,14.900791
species,74.3296444,14.9040636
species,74.329767,14.910058
species,74.3297968,14.8957007
species,74.3301647,14.8887224
species,74.3306853,14.9018877
species,74.3319357,14.8950097
species,74.3319615,14.6454569
species,74.332345,14.891665
species,74.3325028,14.8973992
species,74.332999,14.902351
species,74.333301,14.89338
species,74.3334181,14.8993608
species,74.33472,14.895288
species,74.3347649,14.9009954
species,74.335997,14.89311
species,74.3365135,14.919597
species,74.3367577,14.9023357
species,74.3376326,14.9180008
species,74.33781,14.914085
species,74.3392375,14.6914087
species,74.3408006,14.8418102
species,74.341068,14.9019142
species,74.3418002,14.8956862
species,74.3429629,14.8976476
species,74.3436308,14.899464
species,74.3440412,14.9020986
species,74.3444683,14.9219213
species,74.3459001,14.9038885
species,74.345945,14.6921596
species,74.3459686,14.9166995
species,74.3466865,14.9324731
species,74.3479939,14.9090624
species,74.348072,14.922744
species,74.3481517,14.9280481
species,74.3482489,14.8970885
species,74.3502653,14.8974128
species,74.350776,14.92228
species,74.35195,14.882722
species,74.3525931,14.8978619
species,74.3533874,14.8896725
species,74.3534552,14.9008055
species,74.3548824,14.8821435
species,74.3552411,14.9031553
species,74.356062,14.910422
species,74.3575182,14.8840744
species,74.358578,14.912737
species,74.3606475,14.9319681
species,74.3610692,14.9472879
species,74.3614511,14.8409325
species,74.362416,14.884908
species,74.3636488,14.9104372
species,74.3675538,14.5837999
species,74.3681502,14.8739444
species,74.371899,14.858064
species,74.37236,14.95057
species,74.373971,14.913454
species,74.3749879,14.8823217
species,74.3767118,14.868561
