eBird.English.Name.2021,eBird.Scientific.Name.2021,Species,jetz.eng.name
Ashambu Laughingthrush,Montecincla meridionalis,not found,not found
Ashy Prinia,Prinia socialis,Prinia socialis,Ashy Prinia
Ashy Woodswallow,Artamus fuscus,Artamus fuscus,
Ashy-crowned Sparrow-Lark,Eremopterix griseus,Eremopterix griseus,not found
Asian Emerald Dove,Chalcophaps indica,Chalcophaps indica,not found
Asian Fairy-bluebird,Irena puella,Irena puella,Asian Fairy-bluebird
Asian Koel,Eudynamys scolopaceus,Eudynamys scolopaceus,Asian Koel
Banasura Laughingthrush,Montecincla jerdoni,not found,not found
Banded Bay Cuckoo,Cacomantis sonneratii,Cacomantis sonneratii,Banded Bay Cuckoo
Bar-winged Flycatcher-shrike,Hemipus picatus,Hemipus picatus,Bar-winged Flycatcher-shrike
Bay-backed Shrike,Lanius vittatus,Lanius vittatus,Bay-backed Shrike
Baya Weaver,Ploceus philippinus,Ploceus philippinus,Baya Weaver
Black Drongo,Dicrurus macrocercus,Dicrurus macrocercus,Black Drongo
Black-and-orange Flycatcher,Ficedula nigrorufa,Ficedula nigrorufa,not found
Black-backed Dwarf-Kingfisher,Ceyx erithaca,Ceyx erithaca,not found
Black-hooded Oriole,Oriolus xanthornus,Oriolus xanthornus,Black-hooded Oriole
Black-naped Monarch,Hypothymis azurea,Hypothymis azurea,Black-naped Monarch
Jungle Prinia,Prinia sylvatica,Prinia sylvatica,Jungle Prinia
Plain Prinia,Prinia inornata,Prinia inornata,Plain Prinia
Gray-breasted Prinia,Prinia hodgsonii,Prinia hodgsonii,not found
Black-rumped Flameback,Dinopium benghalense,Dinopium benghalense,Black-rumped Flameback
Black-throated Munia,Lonchura kelaarti,Lonchura kelaarti,Black-throated Munia
Blue-bearded Bee-eater,Nyctyornis athertoni,Nyctyornis athertoni,Blue-bearded Bee-eater
Blue-eared Kingfisher,Alcedo meninting,Alcedo meninting,Blue-eared Kingfisher
Blue-faced Malkoha,Phaenicophaeus viridirostris,Phaenicophaeus viridirostris,Blue-faced Malkoha
Blue-tailed Bee-eater,Merops philippinus,Merops philippinus,Blue-tailed Bee-eater
Brahminy Starling,Sturnia pagodarum,Sturnus pagodarum,Brahminy Starling
Bronzed Drongo,Dicrurus aeneus,Dicrurus aeneus,Bronzed Drongo
Greater Flameback,Chrysocolaptes guttacristatus,Chrysocolaptes lucidus,Greater Flameback
Brown-capped Pygmy Woodpecker,Yungipicus nanus,Dendrocopos nanus,not found
Brown-cheeked Fulvetta,Alcippe poioicephala,Alcippe poioicephala,Brown-cheeked Fulvetta
Brown-headed Barbet,Psilopogon zeylanicus,Megalaima zeylanica,Brown-headed Barbet
Chestnut-headed Bee-eater,Merops leschenaulti,Merops leschenaulti,Chestnut-headed Bee-eater
Cinereous Tit,Parus cinereus,Parus major,not found
Common Flameback,Dinopium javanense,Dinopium javanense,Common Flameback
Common Hawk-Cuckoo,Hierococcyx varius,Cuculus varius,not found
Common Iora,Aegithina tiphia,Aegithina tiphia,Common Iora
Common Myna,Acridotheres tristis,Acridotheres tristis,Common Myna
Common Tailorbird,Orthotomus sutorius,Orthotomus sutorius,Common Tailorbird
Yellow-crowned Woodpecker,Leiopicus mahrattensis,Dendrocopos mahrattensis,Yellow-crowned Woodpecker
Crimson-backed Sunbird,Leptocoma minima,Nectarinia minima,Crimson-backed Sunbird
Dark-fronted Babbler,Dumetia atriceps,Rhopocichla atriceps,Dark-fronted Babbler
Dollarbird,Eurystomus orientalis,Eurystomus orientalis,not found
Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia decaocto,not found
Flame-throated Bulbul,Rubigula gularis,Pycnonotus melanicterus,not found
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,Surniculus lugubris,not found
Gray Junglefowl,Gallus sonneratii,Gallus sonneratii,not found
Gray-bellied Cuckoo,Cacomantis passerinus,Cacomantis passerinus,not found
Gray-fronted Green-Pigeon,Treron affinis,Treron pompadora,not found
Gray-headed Bulbul,Brachypodius priocephalus,Pycnonotus priocephalus,not found
Great Hornbill,Buceros bicornis,Buceros bicornis,Great Hornbill
Greater Coucal,Centropus sinensis,Centropus sinensis,Greater Coucal
Greater Racket-tailed Drongo,Dicrurus paradiseus,Dicrurus paradiseus,Greater Racket-tailed Drongo
Asian Green Bee-eater,Merops orientalis,Merops orientalis,not found
Green Imperial-Pigeon,Ducula aenea,Ducula aenea,not found
Hair-crested Drongo,Dicrurus hottentottus,Dicrurus hottentottus,Hair-crested Drongo
Heart-spotted Woodpecker,Hemicircus canente,Hemicircus canente,Heart-spotted Woodpecker
House Crow,Corvus splendens,Corvus splendens,House Crow
House Sparrow,Passer domesticus,Passer domesticus,House Sparrow
Indian Blackbird,Turdus simillimus,Turdus merula,not found
Indian Gray Hornbill,Ocyceros birostris,Ocyceros birostris,not found
Indian Nuthatch,Sitta castanea,Sitta castanea,not found
Indian Peafowl,Pavo cristatus,Pavo cristatus,Indian Peafowl
Indian Pond-Heron,Ardeola grayii,Ardeola grayii,not found
Indian Robin,Copsychus fulicatus,Saxicoloides fulicatus,Indian Robin
Indian Roller,Coracias benghalensis,Coracias benghalensis,Indian Roller
