Species	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff
Common Tailorbird	0	45.5770833333333	40.7958333333333	54.5	54.5	48.75	55.8884375	-7.25	-14.378125	0.634374999999992	2	641.4375	607.5	702.666666666667	489.6	481.25	507.128125	147.775	112.399375	211.415833333333	2	1270.5	1269.95833333333	1270.5	1209.1125	1195.501	1223.25	61.3687500000001	47.25	73.5758125000003
Purple-rumped Sunbird	1	38.3	32.75	42.325	46.7895833333333	44.793	50.247375	-9.25	-15.25	-4.5	1	436.5	436.5	469.315625	479.5	479.5	479.5	-42.75	-43	-10.1843750000001	2	1281.79166666667	1220.25	1312.425	1183.70833333333	1166.38302083333	1194.65	100.387500000001	36.0237500000001	140.0809375
Red-vented Bulbul	0	64	54.798125	70.75	64.8	54.4989583333333	69.00125	-1.0625	-9.88518749999999	11.209375	0	619	603	626.271875	600.333333333333	583.115625	609.01875	18.2916666666667	-0.628125	36.753125	2	1834.25	1834.25	1835.5	1685.3	1670.9125	1702.525	149.275	132.041875000002	163.3396875
House Crow	0	32.75	32.75	32.75	32.75	32.75	34.3260416666667	0	-1.57604166666667	0	1	402.5	402.333333333333	406.25	411.5	406.25	415.5	-9.08333333333337	-13.1666666666667	-2.49375000000001	2	2035.5	2035.5	2039.55	1920.55	1917.621875	1927.90583333333	115.0625	108.195416666667	119.851875
Black Drongo	0	32.75	32.75	38.5503125	32.75	29.4747916666667	32.75	0	0	5.9125	0	415.5	409.666666666667	419.333333333333	419.333333333333	419.333333333333	421.255208333333	-3.83333333333331	-13.0833333333333	0	0	1051.5375	1015.144375	1105.31760416667	1095.35	1080.8853125	1112.17541666667	-44.9749999999999	-86.9786458333325	12.6584374999995
White-cheeked Barbet	0	65.25	62.449375	68.2714583333333	64.39375	61.5	66.25	1.25	-2.5	5.1509375	2	887.25	878	893.333333333333	860.5	860.25	868.666666666667	24.625	14.25	32.5	2	1819.9	1814.33333333333	1825.25	1624.775	1617.7975	1633.96104166667	195.218750000001	183.553645833333	203.366562500004
White-throated Kingfisher	0	32.75	32.75	32.75	32.75	32.75	39.25	0	-6.5	0	0	419.333333333333	415.5	422.759375	436.5	419.333333333333	461.5	-17.1666666666667	-44.75	0	0	1186.91666666667	1177.33333333333	1209.75	1186.55	1177.33333333333	1209.75	-0.237499999999841	-29.1666666666667	30.5927916666658
Asian Green Bee-eater	0	32.75	32.75	37.0509375	32.75	29.8584375	39.25	0	-6.388125	5.100625	1	457	436.5	476.683333333333	480.25	479.5	489.25	-23.4583333333333	-52.75	-3.5	1	953.333333333333	943.333333333333	954.3515625	1009.7	987.3096875	1030.40225	-57.11875	-78.2006249999999	-33.9763541666663
Common Myna	0	39.15	38.5	43.75	43.75	42.3914583333333	46.75	-4.56875	-7.948375	0.00166666666666506	1	406.25	402.333333333333	406.25	419.333333333333	419.333333333333	419.333333333333	-13.0833333333333	-17	-12.990625	0	1063.3125	1035.465	1080.30989583333	1066.0625	1030.995	1105.2	-6.76041666666686	-45.8438541666654	34.2884375000006
Greater Coucal	1	40.75	37.3996875	43.75	46.75	46	49.02625	-6.81875	-10.0646875	-2.3496875	2	575.5	537.5	591.75	489.25	479.5	506.25	85.8333333333333	45.7375	107.25	2	1509.725	1491.1790625	1546.25	1230.75	1230.75	1230.75	278.974999999998	260.4290625	315.5
Oriental Magpie-Robin	1	33.6375	32.75	38.75	42.5	39.25	46	-8.22708333333334	-12.700625	-1.49885416666667	2	850.625	827.24375	860.5	808.625	784.25	810.75	42.75	20	69.9127083333333	1	1629	1625.2	1637.21666666667	1710.575	1683.875	1724	-81	-95	-52.6134374999988
Malabar Pied-Hornbill	2	12.25	12.25	16.85125	8.575	6.45	10.5	4	1.75	8.5853125	2	88.25	66	107	39.25	32.75	46	48.25	26.483125	67.75	2	886.549999999999	831.529166666667	948.344375	688.975	637	749.172208333334	190.933333333333	112.796979166667	271.123125
