Species	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff
Malabar Pied-Hornbill	2	12.25	12.25	16.85125	8.575	6.45	10.5	4	1.75	8.5853125	2	88.25	66	107	39.25	32.75	46	48.25	26.483125	67.75	2	886.549999999999	831.529166666667	948.344375	688.975	637	749.172208333334	190.933333333333	112.796979166667	271.123125
Crimson-backed Sunbird	2	91.6166666666667	81.261875	97.6078125	77.1266666666667	67.7346875	77.6666666666667	17.25	6.34500000000002	28.3845833333333	2	996.5	976.5	1019.128125	899.75	885	918.75	96.75	70.8739583333333	124.125	2	1654.6625	1647.4	1667.4075	1551.41875	1545.3109375	1554	104.791666666667	95.4431249999971	118.602499999997
Yellow-browed Bulbul	2	83.05	76.6666666666667	91.25	75.2858333333334	69.54875	77.6666666666667	6.67708333333333	0.423125000000011	17.2134375	2	947.125	929	959	898.25	885.194375	918.5	48.5833333333334	22.3274999999999	68.878125	2	1571.8125	1563.8	1582.25	1550.9375	1534.66666666667	1555.2	22.4312500000002	9.79999999999995	41.0362499999998
Nilgiri Flowerpecker	2	97.3333333333333	91.7154166666667	104.3390625	77.6666666666667	77.6666666666667	77.6666666666667	19.6666666666667	14.04875	27.6865625	2	1064.375	1058.25	1073.75	1039.25	1022.33333333333	1052	28.4166666666667	10.9156250000001	47.175	2	2035.5	2035.5	2035.5	1788.4	1788.4	1788.4	247.1	247.1	247.1
Indian Roller	2	153	115.75	194.659895833333	19.05625	10.5	42.401875	132.70625	81.749375	178.375	2	436.5	421.625	436.5	414.333333333333	401.333333333333	419.333333333333	21.5833333333334	9.25	35.1916666666667	2	972.387499999999	954.25	1049.015	876.508333333333	822.586666666665	921.815	106	42.0979166666672	195.7855
Indian Blackbird	2	595.95	467.875	757.947604166667	66.25	49.67375	91.25	523.03125	404.789375	692.241979166667	2	1782.16666666667	1761.41666666667	1814.33333333333	1085	1056.584375	1127.5	705.333333333333	652.166666666667	740.91875	2	2324.18333333333	2322.8	2324.98333333333	2175	2175	2175	149.183333333333	147.8	149.983333333333
Square-tailed Bulbul	2	765	745.666666666667	796.368333333333	656	564.6880625	738.3090625	104.75625	11.9166666666666	194.085	2	1387	1377.978125	1395.5	1236	1230.75	1253.61041666667	156	133.145833333333	164.75	2	2151.75	2144.98875	2151.75	2113.16666666667	2102.075	2116	38.25	30.6150000000001	49.25
Jungle Myna	2	371.375	252.3875	431.234375	93.9125	90.5990625	153.4690625	270.083333333333	146.3153125	334.633333333333	2	1169.625	1146	1177.33333333333	959	942	965	211.925	182.833333333333	231.74	2	2195.8125	2189.33333333333	2202.54833333333	2078.3	2073.7190625	2085.3359375	116.541666666666	106.605312499999	124.877395833333
Ashy Prinia	2	267.4375	260.2	284	143.5	131.57875	183.1175	123.410416666667	91.5609375	143.97875	2	702.666666666667	642	767.75	461.5	453.083333333333	479.5	241.166666666667	182.571875	306.25	2	2035.5	2035.5	2035.5	1968.5	1934.86666666667	2006	67	29.5000000000009	100.633333333334
Pied Bushchat	2	333.025	324.9909375	346.393125	265.75	248.666666666667	280.52125	67.8625	50.39	88.8596875	2	1459.33333333333	1442.83333333333	1505.83	873.5	851.25	911.25	588.645833333333	542.615625	644.851875	2	2248	2248	2248	2215.81666666667	2210.65	2218.35	32.1833333333334	29.6500000000001	37.3499999999999
Blue-bearded Bee-eater	2	86.7125	77.6875	113.5	54.35	50.65	77.6675	30.31875	3.60760416666668	59.75625	2	859.333333333333	702.666666666667	901.25	504.25	479.5	607.5	351.604166666667	203.933541666667	403	2	1635	1594.66666666667	1669.7	1318.79583333333	1282.473125	1344.74166666667	319.116666666666	268.762291666667	368.859270833334
Red Spurfowl	2	91.25	78.194375	104.408020833333	52.25	47.074375	55.25	39.9	24.921875	53.8985416666667	2	957.166666666667	938	993.784375	868.5	825.25	912.791666666667	86.3958333333333	41.6208333333333	135.510416666667	2	1619	1594.25	1629.2	1546	1488.6	1559.4125	71.6287499999997	41.6590624999999	126.998125000001
