Species	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff
Purple-rumped Sunbird	1	38.3	32.75	42.325	46.7895833333333	44.793	50.247375	-9.25	-15.25	-4.5	1	436.5	436.5	469.315625	479.5	479.5	479.5	-42.75	-43	-10.1843750000001	2	1281.79166666667	1220.25	1312.425	1183.70833333333	1166.38302083333	1194.65	100.387500000001	36.0237500000001	140.0809375
Greater Coucal	1	40.75	37.3996875	43.75	46.75	46	49.02625	-6.81875	-10.0646875	-2.3496875	2	575.5	537.5	591.75	489.25	479.5	506.25	85.8333333333333	45.7375	107.25	2	1509.725	1491.1790625	1546.25	1230.75	1230.75	1230.75	278.974999999998	260.4290625	315.5
Oriental Magpie-Robin	1	33.6375	32.75	38.75	42.5	39.25	46	-8.22708333333334	-12.700625	-1.49885416666667	2	850.625	827.24375	860.5	808.625	784.25	810.75	42.75	20	69.9127083333333	1	1629	1625.2	1637.21666666667	1710.575	1683.875	1724	-81	-95	-52.6134374999988
Malabar Pied-Hornbill	2	12.25	12.25	16.85125	8.575	6.45	10.5	4	1.75	8.5853125	2	88.25	66	107	39.25	32.75	46	48.25	26.483125	67.75	2	886.549999999999	831.529166666667	948.344375	688.975	637	749.172208333334	190.933333333333	112.796979166667	271.123125
Common Hawk-Cuckoo	1	32.75	21.3333333333333	32.75	61.29375	53.5225	71.5	-30.58125	-44.2370833333333	-21.3490625	0	460	422.728125	476.666666666667	479.5	468	479.5	-19.5	-56.771875	0	1	1161.55416666667	1139.66666666667	1179	1238.8375	1230.6875	1253.9875	-80.239583333333	-106.79125	-57.1945833333336
Crimson-backed Sunbird	2	91.6166666666667	81.261875	97.6078125	77.1266666666667	67.7346875	77.6666666666667	17.25	6.34500000000002	28.3845833333333	2	996.5	976.5	1019.128125	899.75	885	918.75	96.75	70.8739583333333	124.125	2	1654.6625	1647.4	1667.4075	1551.41875	1545.3109375	1554	104.791666666667	95.4431249999971	118.602499999997
Yellow-browed Bulbul	2	83.05	76.6666666666667	91.25	75.2858333333334	69.54875	77.6666666666667	6.67708333333333	0.423125000000011	17.2134375	2	947.125	929	959	898.25	885.194375	918.5	48.5833333333334	22.3274999999999	68.878125	2	1571.8125	1563.8	1582.25	1550.9375	1534.66666666667	1555.2	22.4312500000002	9.79999999999995	41.0362499999998
Gray Junglefowl	1	55.25	47.25	65.3002083333333	77.6666666666667	74	85.601875	-22.4166666666667	-33.8296875	-11.9161666666667	0	996.5	969.5	1014.50208333333	969.25	956.1125	984.634375	26.8958333333333	0	52.003125	2	2035.5	2035.5	2035.5	1992	1976.535	2001.33333333333	43.5	34.1666666666667	58.9650000000016
Bronzed Drongo	2	54.60125	48.5125	57.8503125	47.74375	46	50.1834375	6.5	0.198125000000003	10.6409791666667	0	517	479.5	579.75	479.5	479.5	518.5	33.5	-20.640625	94.5125	1	1135.6	1133.2535	1135.7125	1203.25	1187.7421875	1209.75	-67.6500000000001	-74.1500000000001	-52.1421875000001
Nilgiri Flowerpecker	2	97.3333333333333	91.7154166666667	104.3390625	77.6666666666667	77.6666666666667	77.6666666666667	19.6666666666667	14.04875	27.6865625	2	1064.375	1058.25	1073.75	1039.25	1022.33333333333	1052	28.4166666666667	10.9156250000001	47.175	2	2035.5	2035.5	2035.5	1788.4	1788.4	1788.4	247.1	247.1	247.1
