Species.x	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff	eBird.English.Name.2021	eBird.Scientific.Name.2021	Species.y	jetz.eng.name	Diet.Guild	Family	bodymass	size
Common Tailorbird	0	45.5770833333333	40.7958333333333	54.5	54.5	48.75	55.8884375	-7.25	-14.378125	0.634374999999992	2	641.4375	607.5	702.666666666667	489.6	481.25	507.128125	147.775	112.399375	211.415833333333	2	1270.5	1269.95833333333	1270.5	1209.1125	1195.501	1223.25	61.3687500000001	47.25	73.5758125000003	Common Tailorbird	Orthotomus sutorius	Orthotomus sutorius	Common Tailorbird	Invertebrate	Cisticolidae (Cisticolas and Allies)	7.49999999323558	Sparrow sized
Purple-rumped Sunbird	1	38.3	32.75	42.325	46.7895833333333	44.793	50.247375	-9.25	-15.25	-4.5	1	436.5	436.5	469.315625	479.5	479.5	479.5	-42.75	-43	-10.1843750000001	2	1281.79166666667	1220.25	1312.425	1183.70833333333	1166.38302083333	1194.65	100.387500000001	36.0237500000001	140.0809375	Purple-rumped Sunbird	Leptocoma zeylonica	Nectarinia zeylonica	Purple-rumped Sunbird	Fruit & Nect	Nectariniidae (Sunbirds and Spiderhunters)	8.769999992608298	Sparrow sized
Red-vented Bulbul	0	64	54.798125	70.75	64.8	54.4989583333333	69.00125	-1.0625	-9.88518749999999	11.209375	0	619	603	626.271875	600.333333333333	583.115625	609.01875	18.2916666666667	-0.628125	36.753125	2	1834.25	1834.25	1835.5	1685.3	1670.9125	1702.525	149.275	132.041875000002	163.3396875	Red-vented Bulbul	Pycnonotus cafer	Pycnonotus cafer	Red-vented Bulbul	Omnivore	Pycnonotidae (Bulbuls)	42.84999997442416	Bulbul sized
House Crow	0	32.75	32.75	32.75	32.75	32.75	34.3260416666667	0	-1.57604166666667	0	1	402.5	402.333333333333	406.25	411.5	406.25	415.5	-9.08333333333337	-13.1666666666667	-2.49375000000001	2	2035.5	2035.5	2039.55	1920.55	1917.621875	1927.90583333333	115.0625	108.195416666667	119.851875	House Crow	Corvus splendens	Corvus splendens	House Crow	Vertebrate & Carrion	Corvidae (Crows, Jays, and Magpies)	292.5499996990685	Crow sized
White-cheeked Barbet	0	65.25	62.449375	68.2714583333333	64.39375	61.5	66.25	1.25	-2.5	5.1509375	2	887.25	878	893.333333333333	860.5	860.25	868.666666666667	24.625	14.25	32.5	2	1819.9	1814.33333333333	1825.25	1624.775	1617.7975	1633.96104166667	195.218750000001	183.553645833333	203.366562500004	White-cheeked Barbet	Psilopogon viridis	Megalaima viridis	White-cheeked Barbet	Fruit & Nect	Megalaimidae (Asian Barbets)	80.49999993181261	Blackbird sized
Asian Green Bee-eater	0	32.75	32.75	37.0509375	32.75	29.8584375	39.25	0	-6.388125	5.100625	1	457	436.5	476.683333333333	480.25	479.5	489.25	-23.4583333333333	-52.75	-3.5	1	953.333333333333	943.333333333333	954.3515625	1009.7	987.3096875	1030.40225	-57.11875	-78.2006249999999	-33.9763541666663	Asian Green Bee-eater	Merops orientalis	Merops orientalis	not found	NA	NA	14.799999986540543	Sparrow sized
Greater Coucal	1	40.75	37.3996875	43.75	46.75	46	49.02625	-6.81875	-10.0646875	-2.3496875	2	575.5	537.5	591.75	489.25	479.5	506.25	85.8333333333333	45.7375	107.25	2	1509.725	1491.1790625	1546.25	1230.75	1230.75	1230.75	278.974999999998	260.4290625	315.5	Greater Coucal	Centropus sinensis	Centropus sinensis	Greater Coucal	Omnivore	Cuculidae (Cuckoos)	280.700000236275	Crow sized
Oriental Magpie-Robin	1	33.6375	32.75	38.75	42.5	39.25	46	-8.22708333333334	-12.700625	-1.49885416666667	2	850.625	827.24375	860.5	808.625	784.25	810.75	42.75	20	69.9127083333333	1	1629	1625.2	1637.21666666667	1710.575	1683.875	1724	-81	-95	-52.6134374999988	Oriental Magpie-Robin	Copsychus saularis	Copsychus saularis	not found	Invertebrate	Muscicapidae (Old World Flycatchers)	36.00000001929027	Bulbul sized
Malabar Pied-Hornbill	2	12.25	12.25	16.85125	8.575	6.45	10.5	4	1.75	8.5853125	2	88.25	66	107	39.25	32.75	46	48.25	26.483125	67.75	2	886.549999999999	831.529166666667	948.344375	688.975	637	749.172208333334	190.933333333333	112.796979166667	271.123125	Malabar Pied-Hornbill	Anthracoceros coronatus	Anthracoceros coronatus	not found	Fruit & Nect	Bucerotidae (Hornbills)	806.7200000067766	Larger
White-browed Wagtail	0	48.3	44.5	63.04625	45.0666666666667	39.3596875	47.45125	4.07708333333334	-1.95541666666666	21.1640625	2	731	702.666666666667	749.375	657	619	702.666666666667	75	17.0833333333334	112.390625	2	1851.4	1851	1867.1875	1469.925	1459.39916666667	1479.6	382.3125	371.65	398.144375	White-browed Wagtail	Motacilla maderaspatensis	Motacilla madaraspatensis	White-browed Wagtail	Invertebrate	Motacillidae (Wagtails and Pipits)	30.49999997564563	Bulbul sized
Common Hawk-Cuckoo	1	32.75	21.3333333333333	32.75	61.29375	53.5225	71.5	-30.58125	-44.2370833333333	-21.3490625	0	460	422.728125	476.666666666667	479.5	468	479.5	-19.5	-56.771875	0	1	1161.55416666667	1139.66666666667	1179	1238.8375	1230.6875	1253.9875	-80.239583333333	-106.79125	-57.1945833333336	Common Hawk-Cuckoo	Hierococcyx varius	Cuculus varius	not found	Invertebrate	Cuculidae (Cuckoos)	103.00000006992325	Cuckoo sized
Jungle Babbler	0	32.75	32.75	33.25	38.75	32.75	42.5	-6	-9.75	0	0	548.75	484.639583333333	575.5	487.25	456.871875	530	52.75	-5.30312499999996	96	2	1986.75	1986.75	1986.75	1809.63333333333	1809	1823	177.116666666667	163.75	177.75	Jungle Babbler	Argya striata	Turdoides striata	Jungle Babbler	Omnivore	Leiothrichidae (Laughingthrushes and Allies)	65.98999994497636	Blackbird sized
Rose-ringed Parakeet	0	61	52.8325	68.3333333333333	66.25	52.8405208333333	73.6025	-4.08749999999999	-14.276875	9.92281249999999	1	406.25	402.916666666667	411.25	419.333333333333	419.333333333333	423.670833333333	-13.0833333333333	-17.5875	-8.08333333333331	2	1016.61666666667	965.880416666667	1041.61166666667	963.533333333333	948.4	981.915312500001	52.935416666666	2.99416666666667	83.5252083333333	Rose-ringed Parakeet	Psittacula krameri	Psittacula krameri	Rose-ringed Parakeet	Fruit & Nect	Psittaculidae (Old World Parrots)	116.10999998401056	Cuckoo sized
Black-rumped Flameback	0	50.55	47.25	55.2525	48.75	46.75	52.62625	1.225	-3.77520833333332	8.20187499999999	0	478.625	437.25	489.25	461.5	423.833333333333	479.5	14.5	-24.25	53.8333333333333	2	1230.75	1230.75	1238.25	1177.33333333333	1177.33333333333	1177.33333333333	53.4166666666667	53.4166666666667	60.9166666666667	Black-rumped Flameback	Dinopium benghalense	Dinopium benghalense	Black-rumped Flameback	Invertebrate	Picidae (Woodpeckers)	100	Cuckoo sized
Indian Peafowl	0	91.25	82.75	91.25	85	83.5	91.25	4.53958333333333	-5.25125	7.75	0	479.5	476.25	489.25	479.5	479.5	479.5	0	-3.25	9.75	2	1230.9125	1230.75	1251.35729166667	1127.5	1126.571875	1146	103.25	88.645000000001	126.708333333331	Indian Peafowl	Pavo cristatus	Pavo cristatus	Indian Peafowl	Plant & Seed	Phasianidae (Pheasants, Grouse, and Allies)	4154.809997787609	Larger
Red-whiskered Bulbul	0	62.17	59.25	66.0534375	62	55.74875	66.25	-0.0625000000000036	-6.03458333333332	7.6890625	2	956.541666666667	949.373125	961	898.25	891.5	905.25	57.4166666666666	48.6666666666667	65.3049999999999	2	2101.5	2095.4875	2105.57916666667	1954.4	1950	1964.8525	147.1125	135.3293125	151.868124999998	Red-whiskered Bulbul	Pycnonotus jocosus	Pycnonotus jocosus	Red-whiskered Bulbul	Omnivore	Pycnonotidae (Bulbuls)	29.47000001018366	Bulbul sized
