Species	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff
Black Drongo	0	32.75	32.75	38.5503125	32.75	29.4747916666667	32.75	0	0	5.9125	0	415.5	409.666666666667	419.333333333333	419.333333333333	419.333333333333	421.255208333333	-3.83333333333331	-13.0833333333333	0	0	1051.5375	1015.144375	1105.31760416667	1095.35	1080.8853125	1112.17541666667	-44.9749999999999	-86.9786458333325	12.6584374999995
White-throated Kingfisher	0	32.75	32.75	32.75	32.75	32.75	39.25	0	-6.5	0	0	419.333333333333	415.5	422.759375	436.5	419.333333333333	461.5	-17.1666666666667	-44.75	0	0	1186.91666666667	1177.33333333333	1209.75	1186.55	1177.33333333333	1209.75	-0.237499999999841	-29.1666666666667	30.5927916666658
White-rumped Munia	0	45.96875	33.5	60.3341666666667	41.0125	35.5	50.5016666666667	2.19583333333334	-13.9446875	16.551875	0	719.166666666667	646.375	745.25	702.666666666667	696.2	720.5	13.3333333333334	-58.9166666666666	44.8995833333332	0	1106.37916666667	1003.5771875	1176.67125	1085.35833333333	1038.12333333333	1139.285	-0.256250000000705	-103.652395833333	101.724375
Yellow-footed Green-Pigeon	0	84.375	71	91.50125	91.25	65.4	152.293125	-15.09375	-70.2059375	22.141875	0	726.25	653.75	881.416666666667	747.8	688.5	854	-32.5916666666667	-170.425	151.622916666667	0	1037.45833333333	997.25	1144.6875	1047.05	997.29875	1101.5145	-1.60041666666655	-84.04775	112.571666666667
Pale-billed Flowerpecker	0	50.9666666666667	44	55.25	55.25	50.3333333333333	60.00125	-3.68541666666667	-11.25	4.1384375	0	419.333333333333	411.5	427.25	453.083333333333	419.333333333333	468	-32.5833333333334	-50.053125	1.45937499999998	0	1139.66666666667	1097.42375	1171.325	1139.66666666667	1139.65908333333	1148.805	0	-42.2429166666669	31.2208333333331
Flame-throated Bulbul	0	49.65	46.3475	55.25	51.40625	48.8995833333333	55.25	-2.13333333333333	-7.1875	4.92041666666666	0	338.625	286.9125	458	375.5125	303.722916666667	456.75	-39.5208333333334	-139.18125	86.3333333333333	0	1090	1089.75	1124.1125	1111.2	1093.99375	1125.66666666667	-15.25	-35.9166666666667	17.2028125000001
Dark-fronted Babbler	0	74	60.764375	74.376875	72.5	57.5	77.6839166666667	1.0625	-12.375	16.5041666666667	0	908.125	863.6	958	898.541666666667	878.5	956.295833333333	9.50000000000006	-54.3822916666666	66.1775	0	1464.2625	1411.75	1483.675	1411.75	1411.75	1411.75	52.5124999999996	0	71.9249999999997
Orange Minivet	0	88.0208333333333	79.1236458333333	91.25	75.3	71.8246875	84.359375	11.6604166666667	-0.6259375	18.2565625	0	864	852.2	871.878125	860.25	839.661458333333	860.5	6.75	-4.55625000000007	27.3333333333334	0	1571.325	1554.935	1586.26666666667	1588.15	1558.32	1592.33333333333	-9.57499999999914	-28.535	18.637875000001
Small Minivet	0	91.25	86.1	97.3333333333333	68.4	56.26625	97.3333333333333	22.40625	-6.08333333333333	35.4014583333333	0	691.75	631.25	706	696.2	642	706.878125	0	-68.6666666666666	60.6666666666666	0	1205.8	1146.8975	1219.9375	1230.75	1208.545625	1232.22916666667	-20.50625	-82.826875	7.5125000000005
Baya Weaver	0	71	38.875	188.452708333333	142.125	16.05	264.9175	-58.6625	-206.079625	105.28125	0	490.666666666667	461.5	623.25	465	437.9375	484.55	28.6333333333333	-18.125	160	0	968.791666666667	831.544375	1036.88333333333	903	761.047499999999	934.4	65.4749999999999	-83.0985416666666	209.115833333333
