Family	meanSLL	meanWLL	meanDiff_LL	mean_eror_LL	meanS_M	meanW_M	meanDiff_M	mean_eror_M	meanS_UL	meanW_UL	meanDiff_UL	mean_eror_UL	count
Alaudidae 	113.133333333333	143.5	-30.2416666666667	NA	479.5	479.5	0	NA	937.8	868.45	69.2416666666669	NA	1
Ardeidae 	32.75	33.5333333333333	-0.618750000000006	NA	415.5	460.75	-45.75	NA	1603	1209.75	393.25	NA	1
Artamidae 	27.25	18	9.02083333333333	NA	559.5	419.333333333333	140.166666666667	NA	1553.15	1112.725	430.745833333332	NA	1
Bucerotidae 	29.75	27.64583333333335	2.213541666666668	2.026510416666669	432.375	379.9583333333335	52.33333333333335	21.619687499999994	1016.6249999999995	929.6968750000001	83.8979166666665	60.78213541666666	2
Cisticolidae 	156.50729166666665	99	58.0802083333335	18.70265625	672.0520833333335	475.55	194.4708333333335	12.330833333333494	1653	1588.80625	64.18437500000005	22.4037604166664	2
Columbidae 	216.34722222222223	211.40347222222223	6.65034722222223	49.79423499521299	836.7270833333333	808.2986111111112	29.42708333333335	53.94677584931569	1594.6802083333334	1444.6720138888893	148.98854166666635	19.326184510653526	6
Coraciidae 	93.96666666666665	29.215625	64.796875	29.0221875	317.25	234.7916666666665	82.1666666666667	82.32083333333331	1197.5770833333295	950.6541666666665	262.3999999999995	263.99995833333367	2
Corvidae 	54.69166666666665	42.5	13.14395833333335	16.38494791666668	631.375	680	-49.843750000000036	30.632291666666653	1612.948958333335	1598.8249999999998	12.809375000000053	32.8062500000005	2
Cuculidae 	43.74625	50.63916666666666	-8.085833333333332	10.057373529488162	431.2416666666666	404.95	24.38333333333332	87.4713428279464	1192.73	1050.49875	142.67458333333306	41.60124901318334	5
Dicaeidae 	59.3333333333333	58.689583333333346	0.6312499999999996	11.843593750000013	803.125	823.375	-12.01041666666665	79.64531250000006	1793.62	1512.04375	281.935625	102.58624999999951	2
Dicruridae 	89.2775	79.08125	4.01666666666667	52.99603191151275	621.7083333333334	544.25	74.5833333333332	33.4432312138633	1209.6208333333334	1138.5708333333332	71.74999999999963	57.150781772768724	3
Estrildidae 	27.6875	38.25	-8.7125	NA	801	797	9.43750000000006	NA	1510.025	1252.425	256.25	NA	1
Laniidae 	377.5	315.71875	61.78125	80.85125	898.166666666665	897.666666666665	11.83333333333335	48.82864583333315	1715.6374999999998	1537.725	177.93541666666755	244.32682291666833	2
Leiothrichidae 	655.2625	674.9583333333333	-13.129861111111083	67.57598611478005	1165.0388888888888	1171.1041666666667	-6.933333333333317	28.86316938984774	1800.61875	1746.3555555555545	54.23854166666671	16.114636849181842	6
Megalaimidae 	42.15	38.321875	4.025000000000005	6.424531249999999	683.375	670	12.3125	4.75	1979.616666666665	1438.1125000000002	541.5510416666675	10.101874999997491	2
Meropidae 	80.146875	59.86458333333336	19.767708333333335	17.412239583333317	957.3333333333316	665	289.2708333333335	61.240520833332994	1646.066666666665	1316.885416666665	327.26020833333246	14.326093749999982	2
Motacillidae 	48.3	45.0666666666667	4.07708333333334	NA	731	657	75	NA	1851.4	1469.925	382.3125	NA	1
Muscicapidae 	594.84375	608.1953125000005	-12.598958333333341	33.90797155214294	1228.4583333333328	1151.1135416666662	76.7005208333333	17.0584744591701	1998.9638541666664	1866.5895833333338	133.4426041666667	40.122899914979676	8
Nectariniidae 	54.222222222222236	56.888749999999995	-2	4.136755949751991	632.9375	641.3333333333334	-10.631944444444434	11.430225726602055	1562.5347222222233	1404.9090277777766	158.90972222222268	23.415629385342584	3
Paridae 	584.8	613	-30.7208333333334	NA	1073.70833333333	1026.75	44.875	NA	2150.05	2125.5	24.5499999999997	NA	1
Passeridae 	119.95	116.5	1.84375000000003	NA	1129.75	875.75	254.75	NA	2248	2225.75	22.25	NA	1
Pellorneidae 	140.533333333333	132.18125	5.53124999999999	NA	1035	936.666666666667	93	NA	1584.6875	1634.5	-48.3125	NA	1
Phasianidae 	79.25	71.6388888888889	7.340972222222209	4.621991743244889	811.0555555555557	772.4166666666666	37.763888888888864	23.35575570664906	1628.4708333333333	1555.1666666666667	72.79291666666657	18.372888663692507	3
Picidae 	102.58726851851853	103.2863425925926	0.43726851851847937	73.40989657568423	764.9166666666666	730.2731481481482	33.95046296296299	30.82236830789675	1471.06574074074	1471.2816666666656	-1.5680092592587884	25.813449001574043	9
Psittaculidae 	59.3828125	56.696875	3.427083333333352	1.8834734419747845	706.8333333333333	722.1770833333333	-13.583333333333325	16.546572720348628	1239.8197916666675	1212.3958333333333	28.135104166666224	13.098988445912942	4
Pycnonotidae 	202.044	187.15050000000002	13.412500000000003	32.00888613177362	879.7833333333334	822.4666666666666	58.00833333333334	6.732506525917981	1745.7075	1664.204583333334	83.14125000000008	25.34308113874975	5
Rallidae 	43.75	45.9333333333333	-2.25	NA	479.5	461.5	21.75	NA	1489.8575	1242.20624999999	237.528749999999	NA	1
Stenostiridae 	1096	991.425	105.4875	NA	1451	1525.25	-74.25	NA	2183.5	2271.33333333333	-87.8333333333335	NA	1
Sturnidae 	222.6875	74.58125	144.4166666666665	90.85182291666649	1015.625	919.4375	97.65625	13.128020833333522	1878.00625	1754.4	122.855208333333	6.749739583333002	2
Timaliidae 	323.1375	384.50375	-56.43125	48.312968749999946	970.916666666665	900.541666666665	64.63541666666674	84.78124999999979	1826.25	1879.7	-53.4499999999998	52.92500000000086	2
Turdidae 	595.95	66.25	523.03125	NA	1782.16666666667	1085	705.333333333333	NA	2324.18333333333	2175	149.183333333333	NA	1
Vangidae 	98.04375	87.11500000000001	13.46875	52.32515625	931.208333333335	920.25	12.5104166666665	10.626562499999904	1675.70625	1725.5	-49.613749999999754	15.870833333333822	2
Zosteropidae 	748.0125	702.666666666667	42.4416666666667	NA	1305.33333333333	1218.625	91.6458333333333	NA	2183.5	2210.63333333333	-26.979166666667	NA	1
